DroneID,Time,X,Z
Agent 0,0,-2.790364,-1.682273
Agent 1,0,-0.07581902,0.4286733
Agent 2,0,-0.2782459,-1.354687
Agent 3,0,-3.599432,3.087874
Agent 4,0,-2.577357,-3.328758
Agent 5,0,1.923138,1.00329
Agent 6,0,-2.222647,3.155605
Agent 7,0,-0.08203506,-3.451638
Agent 0,0.5016045,-2.469139,-1.361045
Agent 1,0.5016045,0.2453527,0.7498474
Agent 2,0.5016045,0.04319572,-1.033243
Agent 3,0.5016045,-3.280674,3.4066
Agent 4,0.5016045,-2.255848,-3.007246
Agent 5,0.5016045,2.244429,1.324584
Agent 6,0.5016045,-1.903245,3.47499
Agent 7,0.5016045,0.2394753,-3.130126
Agent 0,1.00616,-0.2610865,0.5248756
Agent 1,1.00616,2.418484,2.616934
Agent 2,1.00616,2.158459,0.8818701
Agent 3,1.00616,-0.8948154,5.044865
Agent 4,1.00616,-0.1125851,-1.068794
Agent 5,1.00616,4.349323,3.20144
Agent 6,1.00616,0.4456663,5.156498
Agent 7,1.00616,2.276905,-1.169433
Agent 0,1.500916,2.669474,3.445128
Agent 1,1.500916,5.331245,5.48774
Agent 2,1.500916,5.065079,3.729736
Agent 3,1.500916,2.33205,7.602929
Agent 4,1.500916,2.795187,1.849996
Agent 5,1.500916,7.235868,5.986335
Agent 6,1.500916,3.601774,7.800535
Agent 7,1.500916,5.206791,1.582252
Agent 0,2.002595,4.636997,5.464957
Agent 1,2.002595,7.287703,7.466744
Agent 2,2.002595,6.970108,5.638919
Agent 3,2.002595,4.435322,9.731936
Agent 4,2.002595,4.708523,3.813647
Agent 5,2.002595,9.125263,7.861785
Agent 6,2.002595,5.62933,9.898531
Agent 7,2.002595,7.191046,3.396037
Agent 0,2.500767,7.153261,7.043065
Agent 1,2.500767,9.706923,9.035913
Agent 2,2.500767,8.958534,7.156757
Agent 3,2.500767,6.320557,11.42359
Agent 4,2.500767,6.804241,5.363203
Agent 5,2.500767,11.12318,9.387774
Agent 6,2.500767,7.568382,11.54902
Agent 7,2.500767,9.497074,4.895988
Agent 0,3.001033,11.69156,8.903511
Agent 1,3.001033,14.01382,11.02446
Agent 2,3.001033,12.62423,9.412891
Agent 3,3.001033,9.743839,13.66788
Agent 4,3.001033,10.66352,7.542764
Agent 5,3.001033,14.84611,11.60468
Agent 6,3.001033,11.1925,13.72425
Agent 7,3.001033,13.69133,6.877604
Agent 0,3.501559,16.02345,11.48711
Agent 1,3.501559,18.15573,13.8647
Agent 2,3.501559,16.36366,12.63653
Agent 3,3.501559,13.93574,15.81667
Agent 4,3.501559,14.51527,10.66171
Agent 5,3.501559,18.59346,14.5762
Agent 6,3.501559,15.47394,15.8334
Agent 7,3.501559,17.76483,9.265354
Agent 0,4.001347,19.84119,15.52962
Agent 1,4.001347,22.12685,17.7284
Agent 2,4.001347,20.16367,16.7421
Agent 3,4.001347,17.78009,17.66879
Agent 4,4.001347,18.37311,14.84391
Agent 5,4.001347,22.17061,18.53484
Agent 6,4.001347,19.58675,17.69727
Agent 7,4.001347,20.80602,12.54947
Agent 0,4.502775,23.71081,20.22676
Agent 1,4.502775,25.88283,21.68085
Agent 2,4.502775,24.01654,21.17488
Agent 3,4.502775,22.05044,19.57713
Agent 4,4.502775,22.33052,19.39864
Agent 5,4.502775,25.89829,22.81862
Agent 6,4.502775,24.39954,19.8149
Agent 7,4.502775,24.30701,16.85001
Agent 0,5.004488,26.73728,23.96571
Agent 1,5.004488,28.45715,24.4586
Agent 2,5.004488,27.13517,25.02016
Agent 3,5.004488,26.70949,21.44084
Agent 4,5.004488,25.64972,23.47873
Agent 5,5.004488,28.61076,25.97976
Agent 6,5.004488,29.07078,21.85832
Agent 7,5.004488,28.30812,21.03541
Agent 0,5.50056,28.64506,26.32066
Agent 1,5.50056,30.03533,26.15492
Agent 2,5.50056,29.17851,27.58572
Agent 3,5.50056,30.63425,22.9162
Agent 4,5.50056,28.23106,26.84352
Agent 5,5.50056,30.29637,27.90096
Agent 6,5.50056,32.21399,23.23981
Agent 7,5.50056,31.49028,24.70474
Agent 0,6.001345,29.81254,27.75252
Agent 1,6.001345,30.96555,27.1384
Agent 2,6.001345,30.41883,29.12638
Agent 3,6.001345,32.7965,23.74328
Agent 4,6.001345,29.80696,28.75672
Agent 5,6.001345,31.48093,28.95354
Agent 6,6.001345,34.08053,24.06897
Agent 7,6.001345,33.15672,27.21696
Agent 0,6.500763,30.5314,28.59673
Agent 1,6.500763,31.31277,27.43443
Agent 2,6.500763,31.13544,29.9922
Agent 3,6.500763,33.05002,23.90241
Agent 4,6.500763,31.16588,29.45432
Agent 5,6.500763,32.3595,29.43451
Agent 6,6.500763,34.87365,24.43763
Agent 7,6.500763,32.14392,29.90779
Agent 0,7.00211,30.95494,29.06395
Agent 1,7.00211,30.94649,26.81289
Agent 2,7.00211,31.44022,30.27994
Agent 3,7.00211,31.43252,23.5159
Agent 4,7.00211,33.43891,28.82457
Agent 5,7.00211,32.74469,29.46426
Agent 6,7.00211,34.59545,24.35981
Agent 7,7.00211,29.38413,33.37579
Agent 0,7.501492,31.04801,29.08084
Agent 1,7.501492,29.78798,25.06701
Agent 2,7.501492,31.19049,29.6981
Agent 3,7.501492,28.6778,22.93442
Agent 4,7.501492,36.9405,26.48588
Agent 5,7.501492,32.24151,28.31561
Agent 6,7.501492,33.19963,23.81927
Agent 7,7.501492,26.21179,34.58305
Agent 0,8.000223,30.63421,28.34459
Agent 1,8.000223,28.17995,22.39341
Agent 2,8.000223,30.25602,27.95793
Agent 3,8.000223,25.42105,22.38667
Agent 4,8.000223,40.1628,23.50686
Agent 5,8.000223,30.87324,25.39998
Agent 6,8.000223,31.04131,22.97378
Agent 7,8.000223,21.87054,32.87172
Agent 0,8.503086,29.69121,26.79149
Agent 1,8.503086,26.7315,19.54921
Agent 2,8.503086,28.99642,25.49074
Agent 3,8.503086,23.05022,22.01631
Agent 4,8.503086,40.94749,20.4064
Agent 5,8.503086,29.20934,21.45509
Agent 6,8.503086,28.67812,22.0545
Agent 7,8.503086,17.94496,29.96292
Agent 0,9.000089,28.45621,24.79338
Agent 1,9.000089,25.9939,18.41355
Agent 2,9.000089,27.6395,22.44559
Agent 3,9.000089,23.54835,21.8614
Agent 4,9.000089,39.45991,15.71775
Agent 5,9.000089,27.34397,17.34477
Agent 6,9.000089,26.32991,21.14624
Agent 7,9.000089,14.43966,26.66322
Agent 0,9.500665,27.20294,22.7871
Agent 1,9.500665,25.98467,20.1287
Agent 2,9.500665,26.44564,18.6843
Agent 3,9.500665,26.42641,21.9488
Agent 4,9.500665,37.43285,11.90564
Agent 5,9.500665,25.4836,14.50624
Agent 6,9.500665,24.73568,20.53068
Agent 7,9.500665,11.45693,22.81323
